State,Good,Livable,Dilapidated,Latitude,Longitude
ANDHRA PRADESH,2318082,1160097,193455,14.75,78.57
ASSAM,216980,389228,67154,26.75,94.22
BIHAR,813752,2047951,369095,25.79,87.48
CHANDIGARH,25166,16044,2770,30.72,76.78
CHATTISGARH,300666,437447,50354,22.09,82.16
DADRA & NAGAR HAVELI,2019,675,22,20.27,73.02
DAMAN & DIU,1252,470,11,20.42,72.83
GOA,9008,4026,317,15.49,73.82
GUJARAT,657622,322452,15334,23.22,72.65
HARYANA,391796,573868,85321,28.45,77.02
HIMACHAL PRADESH,242622,117555,9127,31.1,77.17
JAMMU & KASHMIR,98933,88018,11161,34.3,74.47
JHARKHAND,270377,468431,55796,23.8,86.42
KARNATAKA,1075174,938151,126979,12.57,76.92
KERALA,344128,323517,83520,8.9,76.57
MADHYA PRADESH,1117270,1211447,131089,21.3,76.13
MAHARASHTRA,1866662,1234884,209859,19.25,73.16
MANIPUR,16202,10443,1769,24.8,93.95
MEGHALAYA,8118,6794,844,25.57,91.88
MIZORAM,2179,1357,79,23.71,92.72
NCT OF DELHI,294451,248212,27744,28.67,77.23
ODISHA,420927,1148007,211181,19.82,85.9
PUDUCHERRY,27811,18629,1396,11.93,79.83
PUNJAB,624392,1029335,213151,31.52,75.98
RAJASTHAN,965574,1217199,135462,26.45,74.64
SIKKIM,3890,3398,622,27.33,88.62
TAMIL NADU,2355540,1305888,98068,12.92,79.15
TRIPURA,82033,72686,10205,23.84,91.28
UTTAR PRADESH,2626064,4361003,662093,27.6,78.05
UTTARAKHAND,207986,148242,20974,30.32,78.05
WEST BENGAL,1626937,2744065,769357,22.58,88.33
